composite_cs,composite_facet,composite_source,composite_id,component_cs,component_facet,component_source,component_id,same_facet,link_status
sekeromlat/mlat,Artefact,amcr,HES-000789,sekeromlat,Artefact,teater,2006,True,auto
slonovina/mamutovina,Material,amcr,HES-000948,mamutovina,Material,teater,2500,True,auto
slonovina/mamutovina,Material,amcr,HES-000948,slonovina,Material,teater,2540,True,auto
splach/naplavenina,Feature,amcr,HES-000461,splach,Feature,teater,1757,True,auto
stanice/tábořiště,Activity Area,amcr,HES-000066,stanice,Activity Area,teater,1451,True,auto
stanice/tábořiště,Activity Area,amcr,HES-000066,tábořiště,Activity Area,teater,1452,True,auto
stáj/chlév,Feature,amcr,HES-000482,chlév,Feature,teater,1520,True,auto
stáj/chlév,Feature,amcr,HES-000482,stáj,Feature,teater,1559,True,auto
sýpka/špýchar,Feature,amcr,HES-000484,sýpka,Feature,teater,1561,True,auto
sýpka/špýchar,Feature,amcr,HES-000484,špýchar,Feature,teater,1563,True,auto
tvrz/hrádek,Activity Area,amcr,HES-000017,hrádek,Activity Area,teater,1428,True,auto
tvrz/hrádek,Activity Area,amcr,HES-000017,tvrz,Activity Area,teater,1437,True,auto
tyčinka/váleček,Artefact,amcr,HES-000765,tyčinka,Artefact,teater,1963,True,auto
uhlíky/popel,Artefact,amcr,HES-000781,popel,Artefact,teater,1943,True,auto
vesnice/městečko,Activity Area,amcr,HES-000068,městečko,Activity Area,teater,1445,True,auto
vesnice/městečko,Activity Area,amcr,HES-000068,vesnice,Activity Area,teater,1455,True,auto
vizuální/geodetický průzkum,Methods,amcr,HES-001044,geodetický průzkum,Methods,amcr,HES-001141,True,auto
vědro/situla,Artefact,amcr,HES-000819,situla,Artefact,teater,2075,True,auto
vědro/situla,Artefact,amcr,HES-000819,vědro,Artefact,teater,2083,True,auto
zahrada/sad,Activity Area,amcr,HES-000040,sad,Activity Area,teater,1297,True,auto
zahrada/sad,Activity Area,amcr,HES-000040,zahrada,Activity Area,amcr,HES-000526,True,auto
zámek/zámeček/vila,Activity Area,amcr,HES-000018,vila,Activity Area,teater,1438,True,auto
zámek/zámeček/vila,Activity Area,amcr,HES-000018,zámek,Artefact,amcr,HES-000817,False,auto
čepel/čepelka,Artefact,amcr,HES-000662,čepel,Artefact,teater,2090,True,auto
čepel/čepelka,Artefact,amcr,HES-000662,čepelka,Artefact,teater,2091,True,auto
šíp/šipka/hrot šípu/šipky,Artefact,amcr,HES-000792,hrot šípu,Artefact,teater,1992,True,auto
šíp/šipka/hrot šípu/šipky,Artefact,amcr,HES-000792,šipka,Artefact,teater,2009,True,auto
žernov/mlýnský kámen,Artefact,amcr,HES-000725,mlýnský kámen,Artefact,teater,2120,True,auto
žernov/mlýnský kámen,Artefact,amcr,HES-000725,žernov,Artefact,teater,2164,True,auto
