cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
neurčený areál,unspecified site,amcr,HES-000060,areal,areál aktivity,Activity Area,heslar:areal,0
nález v druhotné poloze,find in secondary context,amcr,HES-000061,areal,areál aktivity,Activity Area,heslar:areal,0
obora,game park,amcr,HES-000037,areal,areál aktivity,Activity Area,heslar:areal,0
obývání,residential activity,amcr,HES-000001,aktivita,aktivita,Activity Area,heslar:aktivita,0
ojedinělý nález,single find,amcr,HES-000062,areal,areál aktivity,Activity Area,heslar:areal,0
osídlený skalní prostor,cave settlement,amcr,HES-000065,areal,areál aktivity,Activity Area,heslar:areal,0
park,park,amcr,HES-000059,areal,areál aktivity,Activity Area,heslar:areal,0
pastvina/louka,pasture/meadow,amcr,HES-000038,areal,areál aktivity,Activity Area,heslar:areal,0
pevnost,fortress,amcr,HES-000043,areal,areál aktivity,Activity Area,heslar:areal,0
pivovar,brewery,amcr,HES-000080,areal,areál aktivity,Activity Area,heslar:areal,0
pohřbívání,burial activity,amcr,HES-000002,aktivita,aktivita,Activity Area,heslar:aktivita,0
pohřebiště v sakrální stavbě,burials in sacral building,amcr,HES-000077,areal,areál aktivity,Activity Area,heslar:areal,0
pohřebiště/hřbitov,cemetery/graveyard,amcr,HES-000027,areal,areál aktivity,Activity Area,heslar:areal,0
pohřební areál,burial site,amcr,HES-000025,areal,areál aktivity,Activity Area,heslar:areal,0
pole,cropland,amcr,HES-000039,areal,areál aktivity,Activity Area,heslar:areal,0
polní opevnění,field fortification,amcr,HES-000044,areal,areál aktivity,Activity Area,heslar:areal,0
polygon archeologického průzkumu,archaeological survey polygon,amcr,HES-000132,lokalita_druh_kat,druh lokality (kategorie),Activity Area,heslar:lokalita_druh_kat,0
polygon leteckého průzkumu,aerial survey polygon,amcr,HES-000111,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
polygon průzkumu,survey polygon,amcr,HES-001123,lokalita_typ,typ lokality,Activity Area,heslar:lokalita_typ,0
pomník/památník,memorial,amcr,HES-000128,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
popraviště,execution site,amcr,HES-000058,areal,areál aktivity,Activity Area,heslar:areal,0
pozůstatek komunikace,remains of transportation structure,amcr,HES-001429,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek kultu,remains of ritual site,amcr,HES-001433,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek mohylníku,remains of burial mounds,amcr,HES-001430,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek ohrazení,remains of enclosure,amcr,HES-001431,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek represe,remains of repression site,amcr,HES-001432,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek sídla elity,remains of manorial site,amcr,HES-001434,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek sídliště,remains of settlement,amcr,HES-001435,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek těžby,remains of extraction site,amcr,HES-001436,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek vojenství,remains of military site,amcr,HES-001437,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek výroby,remains of production site,amcr,HES-001438,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
protourbánní aglomerace,proto-urban agglomeration,amcr,HES-000075,areal,areál aktivity,Activity Area,heslar:areal,0
předměstí,suburb,amcr,HES-000076,areal,areál aktivity,Activity Area,heslar:areal,0
přehrada,dam,amcr,HES-000054,areal,areál aktivity,Activity Area,heslar:areal,0
přírodní útvar s lidskou aktivitou,inhabited natural landform,amcr,HES-000133,lokalita_druh_kat,druh lokality (kategorie),Activity Area,heslar:lokalita_druh_kat,0
rondel/rondeloid,roundel/rondeloid,amcr,HES-000012,areal,areál aktivity,Activity Area,heslar:areal,0
rybník,pond,amcr,HES-000055,areal,areál aktivity,Activity Area,heslar:areal,1
rýžoviště,panning site,amcr,HES-000035,areal,areál aktivity,Activity Area,heslar:areal,0
samostatná usedlost,individual homestead,amcr,HES-000067,areal,areál aktivity,Activity Area,heslar:areal,0
sklárna,glassworks,amcr,HES-000030,areal,areál aktivity,Activity Area,heslar:areal,0
stanice/tábořiště,camp,amcr,HES-000066,areal,areál aktivity,Activity Area,heslar:areal,0
strážnice/předsunutá bašta,outpost/watchtower,amcr,HES-000045,areal,areál aktivity,Activity Area,heslar:areal,0
synagoga,synagogue,amcr,HES-000024,areal,areál aktivity,Activity Area,heslar:areal,0
sídliště,settlement,amcr,HES-000081,areal,areál aktivity,Activity Area,heslar:areal,0
sídliště specializované komunity,special-community settlement,amcr,HES-000070,areal,areál aktivity,Activity Area,heslar:areal,0
sídlo elity,elite settlement,amcr,HES-000013,areal,areál aktivity,Activity Area,heslar:areal,0
tvrz/hrádek,fortified manor,amcr,HES-000017,areal,areál aktivity,Activity Area,heslar:areal,0
těžba,mining activity,amcr,HES-000004,aktivita,aktivita,Activity Area,heslar:aktivita,0
vesnice/městečko,village/town,amcr,HES-000068,areal,areál aktivity,Activity Area,heslar:areal,0
vodní dílo,hydraulic structure,amcr,HES-000082,areal,areál aktivity,Activity Area,heslar:areal,0
vojenský tábor,military camp,amcr,HES-000046,areal,areál aktivity,Activity Area,heslar:areal,0
výroba,production activity,amcr,HES-000003,aktivita,aktivita,Activity Area,heslar:aktivita,0
výšinné sídliště,hill settlement,amcr,HES-000069,areal,areál aktivity,Activity Area,heslar:areal,0
zahrada,garden,amcr,HES-000526,objekt_druh,areál aktivity,Activity Area,override:amcr:HES-000526,1
zahrada/sad,garden,amcr,HES-000040,areal,areál aktivity,Activity Area,heslar:areal,1
zaniklý/historický areál,deserted/historical site,amcr,HES-000134,lokalita_druh_kat,druh lokality (kategorie),Activity Area,heslar:lokalita_druh_kat,0
zničený prostor,destroyed site,amcr,HES-000063,areal,areál aktivity,Activity Area,heslar:areal,0
zámek/zámeček/vila,chateau/villa,amcr,HES-000018,areal,areál aktivity,Activity Area,heslar:areal,1
železnice,railway,amcr,HES-000050,areal,areál aktivity,Activity Area,heslar:areal,0
železářský areál,iron production site,amcr,HES-000031,areal,areál aktivity,Activity Area,heslar:areal,0
akvamanile,aquamanile,amcr,HES-000651,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
amfora,amphorae,amcr,HES-000652,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
amorfní zlomek/předmět,amorphous fragment/object,amcr,HES-000707,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
architektonický článek,architectural element,amcr,HES-000709,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
atypický předmět,exceptional object,amcr,HES-000708,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
bankovka,paper money,amcr,HES-000650,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
brousek,whetstone,amcr,HES-000803,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
brusle,ice skate,amcr,HES-000743,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
bulava,club,amcr,HES-000785,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
běžný nález,common find,amcr,HES-000842,predmet_druh_kat,druh předmětu (kategorie),Artefact,heslar:predmet_druh_kat,0
břitva,razor,amcr,HES-000661,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
cedník,colander,amcr,HES-000682,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
cihla,brick,amcr,HES-000813,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
deska,board,amcr,HES-000712,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dlaždice,floor tile,amcr,HES-000678,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dláto,chisel,amcr,HES-000824,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
doklad umění/kultu,artistic/ritual object,amcr,HES-000641,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
drasadlo,side scraper,amcr,HES-000715,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
drtidlo/zrnotěrka,handstone/saddle quern,amcr,HES-000795,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
drát,wire,amcr,HES-000782,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dyzna,nozzle,amcr,HES-000689,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dýka,dagger,amcr,HES-000820,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dýmka,pipe,amcr,HES-000635,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
džbán,jug,amcr,HES-000636,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ekofakt,ecofact,amcr,HES-000775,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
faléra,phalera,amcr,HES-000745,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
funkčně neurčený předmět,object of unspecified function,amcr,HES-000846,predmet_druh_kat,druh předmětu (kategorie),Artefact,heslar:predmet_druh_kat,0
gemma,gem,amcr,HES-000731,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
gombík,spherical button,amcr,HES-000693,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
herní předmět,game equipment,amcr,HES-000681,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hladítko,smoother,amcr,HES-000825,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hrací kostka,dice,amcr,HES-000696,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hrací kámen,game piece,amcr,HES-000684,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hrnec,pot,amcr,HES-000768,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hrot/hák,spike/hook,amcr,HES-000783,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hudební nástroj,musical instrument,amcr,HES-000749,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hřeb/hřebík/nýt,nail/rivet,amcr,HES-000679,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hřeben,comb,amcr,HES-000826,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hřivna,ingot,amcr,HES-000829,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
jehla/špendlík,needle/pin,amcr,HES-000804,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
jehlice,clothing pin,amcr,HES-000699,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kachel,stove tile,amcr,HES-000736,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kadlub,mold,amcr,HES-000716,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kamenná industrie,lithics,amcr,HES-000640,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kamenné jádro,stone core,amcr,HES-000776,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kaptorga,kaptorga (metal pendant case),amcr,HES-000700,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kladivo/palice,hammer/sledgehammer,amcr,HES-000796,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kleště,pliers,amcr,HES-000797,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
klín,wedge,amcr,HES-000717,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
klíč,key,amcr,HES-000728,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kniha,book,amcr,HES-000840,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
knoflík,button,amcr,HES-000675,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
koflík,cup,amcr,HES-000769,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
konvice,pitcher,amcr,HES-000690,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kopí/hrot kopí,spear/spearhead,amcr,HES-000821,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
korálek,bead,amcr,HES-000663,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kosa,scythe,amcr,HES-000798,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kost (předmět),single bone,amcr,HES-000753,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kostra,skeleton,amcr,HES-000642,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kotel/kotlík,kettle,amcr,HES-000770,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kovadlina,anvil,amcr,HES-000654,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kování,mount,amcr,HES-000694,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kroužek/kruh,circle/ring,amcr,HES-000764,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kulička/koule,ball/sphere,amcr,HES-000760,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kuše,crossbow,amcr,HES-000822,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
křesadlo/ocílka,firesteel,amcr,HES-000729,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
křížek,cross,amcr,HES-000664,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kůl,pole,amcr,HES-000737,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
lahev,bottle,amcr,HES-000691,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
lampa/kahan,lamp/burner,amcr,HES-000695,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
listina,deed,amcr,HES-000670,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
lopata/rýč,shovel/spade,amcr,HES-000655,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
luk,bow,amcr,HES-000823,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
lžíce,spoon,amcr,HES-000730,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
malakofauna,mollusca,amcr,HES-000777,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
meč,sword,amcr,HES-000786,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
militaria,weapons and armour,amcr,HES-000784,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
mince,coin,amcr,HES-000794,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
motyka/krumpáč,mattock/pickaxe,amcr,HES-000799,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
mísa,bowl,amcr,HES-000719,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nehotový výrobek/polotovar,semiproduct/blank,amcr,HES-000828,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nádoba,vessel,amcr,HES-000714,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
náhrdelník,necklace,amcr,HES-000835,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nákončí,mordant,amcr,HES-000668,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nákrčník,neck ring,amcr,HES-000665,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nánožník,anklet,amcr,HES-000836,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nápažník,armlet,amcr,HES-000812,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
náprstek,thimble,amcr,HES-000805,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
náramek,bracelet,amcr,HES-000666,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nástroj hrubý,utensil,amcr,HES-000653,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nástroj jemný,instrument,amcr,HES-000727,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nátepní destička,wrist guard,amcr,HES-000734,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
náušnice,earring,amcr,HES-000667,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nůž,knife,amcr,HES-000806,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nůžky,scissors,amcr,HES-000807,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
obuv,footwear,amcr,HES-000735,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
odpad,waste,amcr,HES-000778,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
odpad stavební,construction waste,amcr,HES-000779,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
odpad výrobní,production waste,amcr,HES-000780,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
okenní výplň,window panes,amcr,HES-000738,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
omítka,plaster,amcr,HES-000739,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
opasek,belt,amcr,HES-000676,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ostruha,spur,amcr,HES-000787,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ostění,jamb,amcr,HES-000710,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
otloukač,hammerstone,amcr,HES-000656,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ozdoba,adornment,amcr,HES-000834,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
oštěp/hrot oštěpu,javelin/javelin head,amcr,HES-000788,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pekáč,baking pan,amcr,HES-000761,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pila,saw,amcr,HES-000657,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pilník,file,amcr,HES-000800,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pinzeta,tweezers,amcr,HES-000808,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
plastika/soška,sculpture/statue,amcr,HES-000750,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
plastika/soška antropomorfní,anthropomorphic sculpture/statue,amcr,HES-000751,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
plastika/soška zoomorfní,zoomorphic sculpture/statue,amcr,HES-000752,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
platidlo,currency,amcr,HES-000848,predmet_druh_kat,druh předmětu (kategorie),Artefact,heslar:predmet_druh_kat,0
plech,metal sheet,amcr,HES-000680,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pochva/pouzdro,sheath,amcr,HES-000677,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
podkova,horseshoe,amcr,HES-000746,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pohár/číše,beaker/goblet,amcr,HES-000722,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pojivo,binder,amcr,HES-000740,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
poklička,lid,amcr,HES-000724,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
popelnice,urn,amcr,HES-000726,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
portál,portal,amcr,HES-000711,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
postroj/doprava,harness/transportation,amcr,HES-000742,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
potrubí,plumbing pipe,amcr,HES-000741,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pražnice,frying pan,amcr,HES-000771,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
prejz,pantile,amcr,HES-000773,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
prkno/fošna,board/plank,amcr,HES-000687,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
projektil/kule/munice,projectile/bullet/ammunition,amcr,HES-000755,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
prsten,finger ring,amcr,HES-000669,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
průvlečka,clothing buckle,amcr,HES-000683,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pánev,pan,amcr,HES-000720,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
písemnost,written document,amcr,HES-000839,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
přechovávaná přírodnina,natural object,amcr,HES-000643,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
přeslen,spindle whorl,amcr,HES-000809,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
přezka,buckle,amcr,HES-000732,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
přívěsek/závěsek,pendant,amcr,HES-000837,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
rakev,coffin,amcr,HES-000704,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
rolnička,jingle bell,amcr,HES-000701,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
rostlinné makrozbytky,plant macro-remain,amcr,HES-000644,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ruda,ore,amcr,HES-000830,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
rydlo,graver,amcr,HES-000810,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
růženec/medailon,rosary/medallion,amcr,HES-000702,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
sekera,axe,amcr,HES-000802,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
sekeromlat/mlat,hammer axe,amcr,HES-000789,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
sekáč,chopper,amcr,HES-000801,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
skořápka plodu,fruit shell/nutshell,amcr,HES-000754,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
slitek,bloom,amcr,HES-000831,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást hrobu,grave component,amcr,HES-000673,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást oděvu,costume component,amcr,HES-000674,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást pluhu,plow component,amcr,HES-000658,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást postroje,harness component,amcr,HES-000747,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást vozu,cargo vehicle component,amcr,HES-000703,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást zbroje,armor component,amcr,HES-000648,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást štítu,shield part,amcr,HES-000790,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
spona,fibula,amcr,HES-000733,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
srp,sickle,amcr,HES-000659,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
stavební keramika,construction ceramics,amcr,HES-000748,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
stavební/spojovací prvek,structural element component,amcr,HES-000757,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
stilus,stylus,amcr,HES-000811,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
struska,slag,amcr,HES-000645,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
střešní krytina,roofing tile,amcr,HES-000815,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
surovina,raw material,amcr,HES-000832,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
talíř,plate,amcr,HES-000766,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
technická keramika,technical ceramics,amcr,HES-000774,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
tesák,dussack,amcr,HES-000793,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
trám,beam,amcr,HES-000816,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
tyglík,crucible,amcr,HES-000772,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
tyčinka/váleček,rod/log,amcr,HES-000765,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
