file_id,page,line,original_text,categ,quality_score,model_category,model_keywords_cs,candidate_terms,gold_category,gold_keywords_cs,annotator_note
CTX192100040,2,11,čarou as 4 km - za obcí Nenačovicemi při pravém břehu lodenického potoka,Clear,0.8639,,,as,,,
CTX192100040,2,12,"zv."" Kačák "" prostírají se v údolí luka a pole .Louka čí s. katastr. 222 jest",Noisy,0.7999,,,pole,,,
CTX192100040,2,13,majetkem velkostatku v Chrustenicích - pole s ní sousedící čís.kat.218 jest,Noisy,0.7999,,,velkostatek; pole,,,
CTX192100040,2,14,v majetku rolníka p.Rabocha z Nenačovic. _,Clear,0.8206,,,,,,
CTX192100040,2,15,Laskavostí tohoto pána bylo mi dovoleno již roku 1919 na,Clear,0.9514,,,,,,
CTX192100040,2,16,e •,Non-text,0.0,,,,,,
CTX192100040,2,17,"Poli $om zv. "" Holonohy "" kopati.Název tento upoutal moji pozornost nejen",Noisy,0.7815,,,pole,,,
CTX192100040,2,18,"svým jménem, nýbrž i lidovým podáním,které tvrdí,že v místech těchto stávala",Clear,0.9728,,,,,,
CTX192100040,2,19,"kdysi obec,která byla za válek husitských zničena.",Clear,0.935,,,,,,
CTX192100040,2,20,Pátral Jsem v první řadě po stříbrných penězích .které prý,Clear,0.9789,,,,,,
CTX192100040,2,21,"prý po dlouhé léta jmenovaný majetník vyorával, sám a děti poblíže pasoucí",Clear,0.9731,,,,,,
CTX192100040,2,22,"sbíral.Z těchto peněz viděl jsem pouze jeden kus,nebot ostatní z neznalosti'",Clear,0.9623,,,,,,
CTX192100040,2,23,,Empty,0.0,,,,,,
CTX192100040,2,24,byly pohozeny a jsou tudíž ztraceny.Počet Jich odhaduji více než na 100 kusí,Clear,0.951,,,,,,
CTX192100040,2,25,Dne 27.IX. 1919. šel Jsem odpoledne opět na toto pole a štast,Clear,0.9005,,,pole,,,
CTX192100040,2,26,nou náhodou jsem nalezl 1 peníz.Počal Jsem ihned pátrati na onom mistě a,Clear,0.939,,,,,,
CTX192100040,2,27,"při opatrném odhrabání asi 20 cm ornice nalezl jsem celé "" hnízdy n: na",Clear,0.858,,,ornice,,,
CTX192100040,2,28,hromádce bylo složeno celkem 120 kusů stříbrných těchto peržzů pouze v zemi.,Clear,0.9569,,,,,,
CTX192100040,3,1,. ■■ . . 4/2/ .,Non-text,0.0,,,,,,
CTX192100040,3,2,,Empty,0.0,,,,,,
CTX192100040,3,3,"Při nich ani kolem nebyla žádná nádoba,neb střepina.Byly tudí*",Clear,0.9101,,,nádoba,,,
CTX192100040,3,4,"uložony prostě v zemi.Ten den pršelo stále od rána tak,že peníze ty byly",Clear,0.9634,,,,,,
CTX192100040,3,5,"celé hlínou pomazané.Byly pa sobě složeny, takže jsem je musel jen nehtem",Clear,0.9341,,,hlína,,,
CTX192100040,3,6,"odlupovat*.bych je nepoškodil .Ještě dnes jsou hlinou znečistěný,neb neznám",Clear,0.9102,,,,,,
CTX192100040,3,7,"způsobu,Jak je očistiti,sniž by se setřela krásně zelená patina,která mnohé",Clear,0.9607,,,,,,
CTX192100040,3,8,"z nich pokrývá.Na straně Jedné Jest dvojocasý lev s vyplazeným Jazykem,na",Clear,0.9603,,,,,,
CTX192100040,3,9,"druhé koruna královská s nápisem kolem: WENZEZLAUS TERCLUS,",Clear,0.9525,,,,,,
CTX192100040,3,10,nad ním neznatelný nápis - snad Del gratia dux v .,Noisy,0.7999,,,,,,
CTX192100040,3,11,"Dle studia 11 Památek arch.a místopisných "" soudím, že jsou",Noisy,0.7807,,,,,,
CTX192100040,3,12,peníze tyto raženy za krále Václava IV:,Clear,0.9124,,,,,,
CTX192100040,3,13,"Dle "" Pamětí okresu Unhoštského * od Frt.Melichara,učitele",Noisy,0.7963,,,,,,
CTX192100040,3,14,měšt. školy z roku 1890 - Jiné prameny jsou mi zde nedostupné - byla již,Clear,0.8985,,,pramen,,,
CTX192100040,3,15,,Empty,0.0,,,,,,
CTX192100040,3,16,"vesnice "" Holonohy * v první polovici 14. století' zašlá str.154 ./.la str.253",Clear,0.8,,,vesnice,,,
CTX192100040,3,17,"jest psáno,že * dle urbáře kláštera Strahovského z r.1416. /Erben, Reg. 106/",Clear,0.8433,,,urbář; klášter,,,
CTX192100040,3,18,patřily ke zmíněnému klšteru z nynějšího okresu Unhoštského Úhonice s blíz-,Clear,0.982,,,,,,
CTX192100040,3,19,"skými Holonohy a Chýně. Na str.254 píše: "" v Holonozích byli dva lid",Clear,0.8961,,,,,,
CTX192100040,3,20,"z nichž jeden měl- půl lánu, druhý něco málo země, nepraví se,kolik. *",Clear,0.9143,,,,,,
CTX192100040,3,21,,Empty,0.0,,,,,,
CTX192100040,3,22,"Z toho soudím,že skutečně na počátku válek husitských,kdy",Clear,0.9635,,,,,,
CTX192100040,3,23,"dle lidového podání vesnice ta byla úplně zničena,byly peníze ty zakopány do",Clear,0.9535,,,vesnice,,,
CTX192100040,3,24,"země - snad od jednoho z těchto dvou obyvatelů - a to snad ve spěchu, nebot",Clear,0.9276,,,,,,
CTX192100040,3,25,"byly asi pouze vhozeny do vykopané skrýše a opět zatézeny.Možné též,že byly",Clear,0.9611,,,,,,
CTX192100040,3,26,"přikryty shora nádobou, avšak, Jak Jsem se zmínil, nezůstalo po ní dnes již",Clear,0.9685,,,nádoba,,,
CTX192100040,3,27,,Empty,0.0,,,,,,
CTX192100040,3,28,žádné památky .Místo nálezu jejich Jest u nejvyššího bodu onoho pole.které se,Clear,0.9726,,,pole,,,
CTX192100040,3,29,"svužvje směrem k potoku.Půda ornice byla během času jistě splavena níže,takže",Clear,0.9736,,,ornice,,,
CTX192100040,3,30,,Empty,0.0,,,,,,
CTX192100040,3,31,/,Non-text,0.0,,,,,,
CTX192100040,3,32,• /,Non-text,0.0,,,,,,
CTX192100040,4,1,r. • r'' v,Non-text,0.0,,,,,,
CTX192100040,4,2,"peníze ony octly se blíže povrchu dnešního .Tím se ovšem dostatečně vysvětluje,Že",Clear,0.9793,,,povrch,,,
CTX192100040,4,3,špička pluhu při orání vždy Vynesla na povrch nějaký eníz.,Clear,0.967,,,pluh; povrch,,,
CTX192100040,4,4,loňského roku jsem pokrašorálma poli\temto v nižší poloze,Clear,0.9045,,,pole,,,
CTX192100040,4,5,"opět ve výzkumech a sice podél mezí, dosti vysoké,oddělu Jí cí pole toto od",Clear,0.941,,,pole,,,
CTX192100040,4,6,dolejšího s loukou velkoststku rověž mezujícíbo.Mez ona zdá se bíti,Clear,0.9373,,,,,,
CTX192100040,4,7,TozŮstetkemjakésihradby kamenné.Pří mezi té jsem-nslezl pod ornici i vní,Noisy,0.7999,,,ornice,,,
CTX192100040,4,8,"spoustu střepin z nádob, popel dřevěnný a rozličné kůstky.Nádoby J soux",Clear,0.9087,,,nádoba; popel,,,
CTX192100040,4,9,"rozmanítě zdobeny,buä čarami neb v’novkou, jedno duěpird vícenásobně .Jsou",Clear,0.858,,,,,,
CTX192100040,4,10,"do nádob vesměs ryty. Podobná jsem halezl 'i' na louce vblkostatku letos,",Clear,0.937,,,nádoba,,,
CTX192100040,4,11,kdež však Jsem nemohl pro dosti pokročilý čas ročhí důklsdněji pátrat! i,Clear,0.9446,,,,,,
CTX192100040,4,12,"pro podmínku rchní správy v Jenči,že totiž musím uvésti louku do půvedního",Clear,0.9731,,,,,,
CTX192100040,4,13,"stavu.Podmínku onu bych byl- nemohl- dodržet!, neb ne vykopávky jsem byl",Clear,0.8984,,,,,,
CTX192100040,4,14,"sám s Jedním poúze ochotným děLníkem, který nezištně mi po oba roky pomáhal.",Clear,0.9398,,,,,,
CTX192100040,4,15,Chci letos opětně pekračovati Velvýzkumech na poli jak jmenované,Clear,0.9614,,,pole,,,
CTX192100040,4,16,"‘ p.Rsbocha tak '! na scusedním,kuvrlopatimí""býlo rovněž po sklizni dovolen",Noisy,0.7991,,,,,,
CTX192100040,4,17,"Kožn o-l i, dovodil byctši po pF. Vás navštíví €1 a přinésti typické'",Noisy,0.7999,,,,,,
CTX192100040,4,18,"st řepíný, které sám netroufám sl blíže odhsdnouti.K ‘důkl adnému vzdělaní ve",Noisy,0.7999,,,,,,
CTX192100040,4,19,"vědě tetp,po němž toužím, schází m1‘mžno‘st opatřití si neb vypůjčiti",Clear,0.9018,,,,,,
CTX192100040,4,20,různé prameny.,Clear,0.9384,,,pramen,,,
CTX192100040,4,21,,Empty,0.0,,,,,,
CTX192100040,4,22,""" ■ ■ 3 - b i""",Non-text,0.0,,,,,,
CTX192100040,4,23,"nt ■ "" o Zároveň bych přinesl stéž plének,kopii místa nálen vzatu z ckatastá",Noisy,0.7999,,,kopie,,,
CTX192100040,4,24,mapy obce TTenalovic. ',Noisy,0.5499,,,,,,
CTX192100040,4,25,"Těše se na laskavou odpovši * "" ' • • ■ ! - j odu ■ ■ - "" -",Noisy,0.5571,,,,,,
CTX192100040,4,26,5 -i - -1 **:e r : • t • znamenám ae v úctě :n3nt,Noisy,0.4713,,,,,,
CTX192100040,5,1,č..49...1921.,Trash,0.2779,,,,,,
CTX192100040,5,2,"Datum. 7./. .1921 ,3...",Noisy,0.55,,,,,,
CTX192100040,5,3,Došlo.9..11-21.-,Trash,0.3548,,,,,,
CTX192100040,5,4,zasílá. ..J.. Chpc.. účeiní.. lodenics,Noisy,0.6891,,,,,,
CTX192100040,5,5,. n.,Non-text,0.0,,,,,,
CTX192100040,5,6,,Empty,0.0,,,,,,
CTX192100040,5,7,Dřívější spisy:. 469/20 • -,Noisy,0.6703,,,,,,
CTX192100040,5,8,,Empty,0.0,,,,,,
CTX192100040,5,9,Pozdějěí spisy:......,Clear,0.8,,,,,,
CTX192100040,5,10,Zúroveň sevyiizují ....,Noisy,0.6673,,,,,,
CTX192100040,5,11,,Empty,0.0,,,,,,
CTX192100040,5,12,Předmět; . .. <,Noisy,0.55,,,,,,
CTX192100040,5,13,,Empty,0.0,,,,,,
CTX192100040,5,14,". Josef. Ch99.. úřotní. äplp. ř.. y. .. y. Chlnstenicáoh.,. bytem ...",Noisy,0.565,,,,,,
CTX192100040,5,15,lpděricích- ě- 35B-. Zpráva- D-jeho. -činnosti- arohaeolgie ké-,Noisy,0.728,,,,,,
CTX192100040,5,16,CluwGwur - KCoolue-,Trash,0.3943,,,,,,
CTX192100040,5,17,,Empty,0.0,,,,,,
CTX192100040,5,18,K nahl Sdnutí:,Trash,0.5499,,,,,,
CTX192100040,5,19,,Empty,0.0,,,,,,
CTX192100040,5,20,Došlo do spisovny:,Clear,0.9183,,,,,,
CTX192100040,5,21,popis spisu:,Clear,0.8641,,,,,,
CTX192100040,5,22,Znečka.,Clear,0.8921,,,,,,
CTX192100040,5,23,Budiž skartováno:9...,Clear,0.8182,,,,,,
CTX192100040,5,24,,Empty,0.0,,,,,,
CTX192100040,5,25,P.T. panu,Trash,0.5499,,,,,,
CTX192100040,5,26,"Josefu Chocovi,",Trash,0.5499,,,,,,
CTX192100040,5,27,účetnímu dolu,Clear,0.9583,,,důl,,,
CTX192100040,5,28,v Loděnicích u Berouna.,Clear,0.8822,,,loděnice,,,
CTX192100040,5,29,,Empty,0.0,,,,,,
CTX192100040,5,30,Velectěný pane!,Clear,0.8807,,,,,,
CTX192100040,5,31,"Děkuji vám za milý váě list,",Clear,0.9413,,,,,,
CTX192100040,5,32,kterým jste mně byl nadmíru potěšil.,Clear,0.9683,,,,,,
CTX192100040,5,33,K jeho obsahu dovoluji si následující,Clear,0.982,,,,,,
CTX192100040,5,34,odpovědět!:,Clear,0.9176,,,,,,
CTX192100040,5,35,"Mince , které jsetbyl vykopal",Noisy,0.7999,,,mince,,,
CTX192100040,5,36,"na poli, zvaném""Holonohy"", byly raženy",Clear,0.8475,,,pole,,,
CTX192100040,5,37,za krále českého Václava Iv./syna,Clear,0.9414,,,,,,
CTX192100040,5,38,a nástupce Karla IV.7 Na nich je nápis,Clear,0.8648,,,,,,
CTX192100040,5,39,"pokud se pamatuji, následující: Kolam",Clear,0.9557,,,,,,
CTX192100040,5,40,koruny v kruhu prvém WENCEZLAUS TER -,Clear,0.8375,,,,,,
CTX192100040,5,41,CIUS - v kruhu druhém DEI GRACIA REX,Clear,0.8401,,,,,,
CTX192100040,5,42,výpravna:,Clear,0.9326,,,,,,
CTX192100040,5,43,,Empty,0.0,,,,,,
CTX192100040,5,44,"Doblonc: :3o/, 2;",Trash,0.4537,,,,,,
CTX192100040,5,45,Podepsino.). .,Noisy,0.5742,,,,,,
CTX192100040,5,46,vypraveno/..,Clear,0.8401,,,,,,
CTX192100040,5,47,B. • -přílohami.,Non-text,0.0,,,,,,
CTX192100040,6,1,BOHEMIAB. Na druhé pak straně jest,Clear,0.9458,,,,,,
CTX192100040,6,2,český lev a kolem něho v kruhu: GROSSI,Clear,0.96,,,,,,
CTX192100040,6,3,"PRAGENSES,t. j.""václav III""/václava III.",Noisy,0.577,,,,,,
CTX192100040,6,4,Přemyslovce; který byl zavražděn v 010-,Noisy,0.7999,,,,,,
CTX192100040,6,5,"mouci roku 1306, nebrgli do počtu/,",Noisy,0.7999,,,,,,
CTX192100040,6,6,"""z Boží milusti krúl český"", a na""",Clear,0.8409,,,,,,
CTX192100040,6,7,"druhá straně"" Groša pražské."" ■",Clear,0.8377,,,,,,
CTX192100040,6,8,"Až pojedete do Prehy, vez-",Clear,0.8439,,,,,,
CTX192100040,6,9,"měteyje s sebou, a zatím, než si pohovoříme,",Clear,0.9507,,,,,,
CTX192100040,6,10,budou vám peníze v neší laboratoři,Clear,0.9631,,,,,,
CTX192100040,6,11,"vyčištěny, .Neb o přejete-li si,",Clear,0.86,,,,,,
CTX192100040,6,12,"pošlu vám návod, jak byste súm si je me",Clear,0.9149,,,,,,
CTX192100040,6,13,hl vyčistiti .,Noisy,0.5934,,,,,,
CTX192100040,6,14,váš úsudek O obci samet-,Clear,0.8474,,,,,,
CTX192100040,6,15,né jest správný.,Noisy,0.7999,,,,,,
CTX192100040,6,16,"Bude mne velice těšiti,",Clear,0.9346,,,,,,
CTX192100040,6,17,"navštívíte-li uane, až zavítáte do Prahy.",Clear,0.9205,,,,,,
CTX192100040,6,18,"Pokusím se ovšem, abych vís nepřipravil",Clear,0.9692,,,,,,
CTX192100040,6,19,o mnoho času.,Clear,0.8348,,,,,,
CTX192100040,6,20,"Těším se na ony střepy, '",Noisy,0.7999,,,,,,
CTX192100040,6,21,"z nichž vezměte, prosím, nejen ty or- ■",Noisy,0.7976,,,,,,
CTX192100040,6,22,"namentované, ale i všechnyod okrajů, |",Noisy,0.7999,,,,,,
CTX192100040,6,23,"příyadně též dna,jsou-li nanich nějaké",Clear,0.9323,,,,,,
CTX192100040,6,24,značky.,Clear,0.9198,,,,,,
CTX192100040,6,25,Taxtéž na kopii plániu na-,Noisy,0.7954,,,kopie,,,
CTX192100040,6,26,"ziště, rterou hoaláte s sebou vzíti, |",Clear,0.8683,,,,,,
CTX192100040,6,27,se těším. .,Noisy,0.7999,,,,,,
CTX192100040,6,28,"Budu vám velice povděčen, |",Noisy,0.7999,,,,,,
CTX192100040,6,29,podáte-li mi zprávy laskavě i o dalších,Clear,0.948,,,,,,
CTX192100040,6,30,svých plánech kopacích a núle- 7,Noisy,0.7999,,,,,,
CTX192100040,6,31,"zech, případně o známých vÁn nalezištěc",Clear,0.8734,,,,,,
CTX192100040,6,32,"' v okolí,která,budou-li pro nás zajímavá,dovolil",Clear,0.8567,,,,,,
CTX192100040,6,33,bych si se pak za laakavéno,Clear,0.8949,,,,,,
CTX192100040,6,34,Vašeho průvodu ohledsti.,Clear,0.9532,,,,,,
CTX192100040,7,1,Budete-li sikdykollv“piastadsesess,Trash,0.5499,,,,,,
CTX192100040,7,2,V . . X 40/24,Non-text,0.0,,,,,,
CTX192100040,7,3,"ci nějakých informací,račte ae vŽdy ni",Noisy,0.6915,,,,,,
CTX192100040,7,4,mne obrátiti. Bude mí velikým potěše­,Noisy,0.7509,,,,,,
CTX192100040,7,5,"ním,budu-li moci v té věci vám něčím",Clear,0.8975,,,,,,
CTX192100040,7,6,býti k službám.,Clear,0.9287,,,,,,
CTX192100040,7,7,Děguje vám za laskavou,Clear,0.9511,,,,,,
CTX192100040,7,8,"Vaši zprávu, znamenám se vám",Clear,0.9655,,,,,,
CTX192100040,7,9,v plné úctě oddaný,Clear,0.8878,,,,,,
CTX192100040,7,10,,Empty,0.0,,,,,,
CTX192100040,7,11,"v Praze, dne 30-dubna 1921.",Noisy,0.779,,,,,,
CTX192100040,8,1,"C. j. ApoSlodne2/-74o ' (0)., '",Non-text,0.0,,,,,,
CTX192100040,8,2,Pocet príloh —kresní správa politická na Kladně.,Clear,0.9325,,,,,,
CTX192100040,8,3,ameeyrtny--------------.-,Trash,0.2496,,,,,,
CTX192100040,8,4,,Empty,0.0,,,,,,
CTX192100040,8,5,lis. 52.903./I. Dne 25. října 1920.,Noisy,0.7068,,,,,,
CTX192100040,8,6,. I .,Non-text,0.0,,,,,,
CTX192100040,8,7,0%r,Non-text,0.0,,,,,,
CTX192100040,8,8,‘ - I,Non-text,0.0,,,,,,
CTX192100040,8,9,"""*! trí archeolcrickí vstav""",Noisy,0.7526,,,,,,
CTX192100040,8,10,v,Non-text,0.0,,,,,,
CTX192100040,8,11,Praze. .Strahovský klášter,Clear,0.9355,,,klášter,,,
CTX192100040,8,12,,Empty,0.0,,,,,,
CTX192100040,8,13,"Vzhledem ko přípisu ze dne .""ra 1S20,čí8. 131 -ils20, oznamuji,",Noisy,0.7314,,,,,,
CTX192100040,8,14,že účetní dolu čís. V.v Jhrusten icích Josef Jhoc z Lodenice čp.158 jest,Noisy,0.7999,,,důl,,,
CTX192100040,8,15,členem společnosti lusea Král.českého v Praze a skutečně pátrá po před-,Clear,0.9732,,,,,,
CTX192100040,8,16,histori cký ch parná t ká ch .,Noisy,0.5924,,,,,,
CTX192100040,8,17,Minulého roku vykopal na poli rolníka habocha v ilenačovicích parcela,Clear,0.9162,,,pole,,,
CTX192100040,8,18,"č.218,stodvacet kusů stříbrných českých grošů,na nichž je vyražena",Clear,0.9182,,,,,,
CTX192100040,8,19,"česká koruna a lev na okraji těchto grošů jest ražen nápis "" Venzes-",Clear,0.94,,,,,,
CTX192100040,8,20,"laus"" .",Noisy,0.685,,,,,,
CTX192100040,8,21,"Během, tohoto roku vykopal Jhocwa louce v katastru obce nenačovic-",Clear,0.9172,,,,,,
CTX192100040,8,22,"ká,parcela 222a 222 a/,patřící zdejšímu státnímu velkostatku několik",Clear,0.8759,,,velkostatek,,,
CTX192100040,8,23,"střepů z hliněných nádob, jejichž předhistorickou památnost nechá teprve",Clear,0.9806,,,nádoba,,,
CTX192100040,8,24,zjistiti.,Clear,0.8,,,,,,
CTX192100040,8,25,Podobných namátek doufá lhoc ještě více nalezli a hodlá je hromadně,Clear,0.9836,,,,,,
CTX192100040,8,26,"Museu Král, českého v Praze všnovati.",Clear,0.9435,,,,,,
CTX192100040,8,27,। í । -,Non-text,0.0,,,,,,
CTX192100040,8,28,"Tyto vyKopavKy pounina UnOC Sail většinou QO zeine 1 1/6 I niuDOKO,",Noisy,0.705,,,,,,
CTX192100040,8,29,"šíře 12- m, se svolerímajitelů těchto pozemků.",Clear,0.8187,,,,,,
CTX192100040,8,30,Týž pátrá nyní na výše uvedené louce po předhistorické vesnici,Clear,0.9868,,,vesnice,,,
CTX192100040,8,31,""" Holonohy"" a po bojišti bitvy u Lodenice / dle dějin Fi ant .ľalackého/""",Noisy,0.7999,,,bojiště; ant,,,
CTX192100040,8,32,z čehož si slibuje skvělý výsledek.,Clear,0.9701,,,,,,
CTX192100040,8,33,"Podotýká se,že účetní Jhoc jest horlivým sběr: Úlem starých památek",Clear,0.9613,,,,,,
CTX192100040,8,34,"a velkým milovníkem vykopávek předhis tonických památek,nemá však",Clear,0.9764,,,,,,
CTX192100040,8,35,hmotných prostředků a proto ve své práci pomalu pokračuje.,Clear,0.9799,,,,,,
CTX192100040,9,1,"Jak důverně bylo zjištěno, vyjádřil se Jhoc,že kdyby byl někým",Clear,0.9733,,,,,,
CTX192100040,9,2,"odporován finančně, pokračoval by ve svém díle rychleji a tím,hlavně",Clear,0.969,,,,,,
CTX192100040,9,3,"okolí Lodenice a Nenačovic,nalezlby spoustu předhistorických památek.",Clear,0.9513,,,,,,
CTX192100040,9,4,,Empty,0.0,,,,,,
CTX192100040,9,5,Min isterský,Clear,0.8958,,,,,,
CTX192100040,10,1,nos! KuogQARA q>tqo qo9sA,Trash,0.4984,,,,,,
CTX192100040,10,2,I A W9PQAz 0z[ T41[q OgA,Trash,0.5499,,,,,,
CTX192100040,10,3,ouqíqopau nped A tunox 09 yo,Trash,0.5499,,,,,,
CTX192100040,10,4,i pupzodo oqeu omnuauodo,Trash,0.5499,,,,,,
CTX192100040,10,5,[UP[OA HKq nozy ez ‘oqo 97 n,Trash,0.3768,,,,,,
CTX192100040,10,6,,Empty,0.0,,,,,,
CTX192100040,10,7,mos( Ku>gaaKa q>toqo \p9sA,Trash,0.4381,,,,,,
CTX192100040,10,8,"os v).*"" ‘yasvmAa z vontso.d rorsaur A WPPQAz oz[ WI •%A",Trash,0.4499,,,,,,
CTX192100040,10,9,qup g op ze unuazqn gsouíqopu nprd A 10x09 ge,Trash,0.6991,,,,,,
CTX192100040,10,10,noywqued noqnsoa es yasoq yuasvyo quqpzodo oqou onuauodo,Trash,0.5499,,,,,,
CTX192100040,10,11,npoApo ( 1u9[oA Iíq no.94 uz ‘9>q091 n,Trash,0.447,,,,,,
CTX192100040,10,12,vuqfqood qsougnsud yxsaouop II-oftooqo 97940]) 948 n TuutAod nosl,Trash,0.5458,,,,,,
CTX192100040,10,13,nsvuud ymu2nnzapz os qulzio aW94( yuutaod nozEVIHd,Trash,0.5499,,,,,,
CTX192100040,10,14,oueussd,Trash,0.5499,,,,,,
CTX192100040,10,15,,Empty,0.0,,,,,,
CTX192100040,10,16,Julz[9,Non-text,0.0,,,,,,
CTX192100040,10,17,,Empty,0.0,,,,,,
CTX192100040,10,18,os MpKq •py *0>qo m,Trash,0.2786,,,,,,
CTX192100040,10,19,noxer Avzuya,Trash,0.5499,,,,,,
CTX192100040,10,20,,Empty,0.0,,,,,,
CTX192100040,10,21,.) exsfoA z Oqzus ex qsoUdoqosU,Trash,0.5198,,,,,,
CTX192100040,10,22,uxyueguoxn pejd 7opx,Trash,0.5499,,,,,,
CTX192100040,10,23,"p ! „qezeuKA"" oqou „Kudouosu",Trash,0.3923,,,,,,
CTX192100040,10,24,। ‘Apzuxf’ uepeApO [Rqeu J]S0U,Trash,0.3488,,,,,,
CTX192100040,10,25,u oad Kxyx ‘oouU.q ÄPzuy,Trash,0.5382,,,,,,
CTX192100040,10,26,uuysod noxsuafoA noxuI,Trash,0.4884,,,,,,
CTX192100040,10,27,,Empty,0.0,,,,,,
CTX192100040,10,28,"os ""IIDKq opy *9040 m",Trash,0.406,,,,,,
CTX192100040,10,29,"nupoy yoysqu A n7o. ouPpze"" yuAoxw gsouutod nxyaya",Trash,0.5499,,,,,,
CTX192100040,10,30,op ge uouod qsť Kuuyaod uoxsuofoA noxen Apzuy,Trash,0.5499,,,,,,
CTX192100040,10,31,P(Kqon qqznys •x qsourqosudzu jolnunpod •pUA y/p= uawgndoud [Äq,Trash,0.5362,,,,,,
CTX192100040,10,32,"nouqtuerspoau o.d oxsueľoA Kqzn[s uruequoxn pajď Yop"" SPzEX",Trash,0.5499,,,,,,
CTX192100040,10,33,"e[sp !,yezeOAA"" oqau „udou",Trash,0.3121,,,,,,
CTX192100040,10,34,,Empty,0.0,,,,,,
CTX192100040,10,35,:sof ueuyaod noxsuoľoA noxuI,Trash,0.5354,,,,,,
CTX192100040,10,36,,Empty,0.0,,,,,,
CTX192100040,10,37,0 Iu92n0A,Trash,0.284,,,,,,
CTX192100040,10,38,,Empty,0.0,,,,,,
CTX192100040,10,39,oysuofos oxW • TSOUI[Aod 0 [uognoJ,Trash,0.3964,,,,,,
CTX192100040,10,40,,Empty,0.0,,,,,,
CTX192100040,10,41,taxo vojenské.,Clear,0.9062,,,,,,
CTX192100040,10,42,,Empty,0.0,,,,,,
CTX192100040,10,43,Pončeni o povinnosti ku taxo vojenské.,Clear,0.8941,,,,,,
CTX192100040,10,44,,Empty,0.0,,,,,,
CTX192100040,10,45,obilost k službě s konečnou plat-,Clear,0.9571,,,,,,
CTX192100040,10,46,rém byl vydán nález nku zbrani,Clear,0.906,,,zbraň,,,
CTX192100040,10,47,,Empty,0.0,,,,,,
CTX192100040,10,48,í nezpůsobilost ke službě nebyla,Clear,0.8805,,,,,,
CTX192100040,10,49,,Empty,0.0,,,,,,
CTX192100040,10,50,povinný jest povinen až do,Clear,0.9061,,,,,,
CTX192100040,10,51,,Empty,0.0,,,,,,
CTX192100040,10,52,nebo písemné s použitím přede-,Clear,0.9526,,,,,,
CTX192100040,10,53,,Empty,0.0,,,,,,
CTX192100040,10,54,Taxon vojcuskou povinen jest:,Clear,0.8,,,,,,
CTX192100040,10,55,"Každý branac, ktorýž pro nezpůsobilost k službě s konečnou platnosti",Clear,0.9802,,,,,,
CTX192100040,10,56,"nebyl odveden, t.j. každý, o kterém byl vydán nález nku zbrani",Clear,0.9082,,,zbraň,,,
CTX192100040,10,57,"neschopný11 nebo „vymazati"" ; dále",Noisy,0.7602,,,,,,
